price,title,location,links,description
$1,2003 Acura TL type S, (cave creek),/nph/cto/4590629807.html,"
        2003 Acura TL type S.  Runs perfectly and has really cold air.  Great reliable family car.  Clean with a good set of tires.  No need to add any work to this car.  Get in and go.  168K.  Clean retail is 6400.  Will sell for 4995.00.  Call Craig"
$1,Trade 9 second drag truck for a pro street or diesel ,,/cph/cto/4590477282.html,"
        This is a 82 S10 drag truck that can cert to 8.5 and runs 9.6 all night long.  Chromolly cage, strange rear end 35 spline with carbon fiber rotors, powerglide with trans brake, 355 sbc with nitrous.  Looking for a full size pro street truck, chevy II, chevelle  1998 dodge 12 valve,  ford 7.3 crew cab, side by side, 4 seater or camaro that I can take the grandkids to the zoo in.,
Cut and paste this link to see video.                     ,
      http://youtu.be/Ag9rFcB8T5E,
Key words: pro street, drag truck, hot rod, nitrous, drag
    "
$1,NEED TO SELL ASAP!!! 1997 DODGE NEON HIGHLINE SPORT, (EAST MESA ),/evl/cto/4589045863.html,"
        NEED TO SELL ASAP!!! ,
1997 DOdge NeOn Highline SpOrt. 4 cylinder. autOmatic, 2.O liter dOhc..,TO many new parts tO list.,
runs great, very dependable, great tires, nO cracks in dash Or the windshield nO rips in the seats. nice cOld A/C it has brand new hOses and all. Have the receipts fOr the prOOf! SMALL COMPACT CAR!!! RegistratiOn gOOd until 5/21O5 Asking $1,5OO.OO OBO!!! NEED TO SELL ASAP!!!,
if interested please call Or text 48O-392-9743 ,
Thank YOu! NO lOwballing either please!!
    "
$1,NEED TO SELL ASAP!!! 1978 1 TON GMC FLATBED, (EAST MESA ),/evl/cto/4589043952.html,"
        NEED TO SELL ASAP!!!,
1978 1 tOn GMC Flatbed Truck New Battery, New electric fuel pump, tires are still in great cOnditiOn, new seat cOver and carpet. This truck has @ 4barrel carb 8cylinder with a 454 and is AutOmatic! Over All Great WOrk Truck..We used this truck mainly fOr landscaping! Asking $9OO.OO NEED TO SELL ASAP!!! If interested call Or text 48O3929743 Thank YOu! NO lOwballing either please!!
    "
$245000,Buick Lacrosse , (gilbert),/evl/cto/4676918097.html,"
        2012 Buick Lacrosse-25000 miles awesome condition both inside and out with no dents or scratches and no rips or tears in the comfortable black leather interior.
    "
$250000,BLACK 2011 FORD EDGE LIMITED, (Tempe),/evl/cto/4683487604.html,"
        25k OBO,
 Engine 3.5 L V 6-cylinder,
 Drivetrain Front Wheel Drive,
 Transmission 6-speed Automatic,
 Horse Power 285 hp @ 6500 rpm,
 Fuel Economy: 19/27 mpg,
 Bluetooth: Yes ,
Navigation: Yes ,
Heated Seats :Yes ,
Beige Interior ,
Mileage: 54,000 ,
REMOTE START,
 SYNC ,
19/27 mpg,
 12 total speakers,
 Satellite radio,
 Sony premium brand stereo system,
 ALL TOUCH INSIDE ,
Voice directions,
 Bluetooth wireless data link for hands-free phone,
 Memory card slot,
 2 USB connections,
 LED GLOW LIGHTING INSIDE VEHICLE! 7 DIFFERENT COLORS TO CHOOSE FROM ,
Memorized seat settings for 2 drivers 
    "
$1,AUDI A4 QUATTRO 1999,,/cph/cto/4625611757.html,"
        PARTING OUT!!! STILL ALOT OF PARTS AVAILIABLE DONT MISS THEM... I WILL BE TAKING PARTS TO PHX NEXT SATURDAY!!!  CHEAP.. ONLY SERIOUS BUYERS!!!!
    "
$1,1960 Studebaker Lark 2 Door, (showlow Az),/evl/cto/4629974180.html,"
        1960 Studebaker Lark VI  Restore or parts car. Super straight body. NO RUST Californian desert car. Great glass and chrome except front bumper. Have a front bumper if you want it. Motor bad (6 cylinder) rest is good. Auto trans. Best reasonable offer. Car is in Showlow Arizona at Studebaker West Malcom Stinson's shop. Bought a nice 1963 Lark cruiser I could not pass up so this project was cancelled, wish I could afford to do both, but can not.Someone was looking at the car when I walked up to take pictures. Hood left  open but does close properly.Have a good running Studebaker 259 V-8, 4 barrel carb rebuilt(carter AFB) and 4 barrel intake  manifold , a t-10 4Speed transmission and a TT rear end 3:31 gears. Also have two Daytona buckets seats with floor mounts and center consule. Make an offer for the package deal.
    "
$1,GMC CABALLERO/EL CAMINO, (35ave & Fillmore St),/wvl/cto/4632385910.html,"
        1979 gmc caballero, 355 vortec engine, 5 speed manual transmission, posi rear end, 87 ss monte carlo complete front end, decent sound system( 2 12"", 2 amps), and more, too much to list, please no low ballers, just the engine worth more than $3000, please make me a decent offer,was asking $4600,  may trade for a short bed  truck.May need some ody and interior work.  Hablo espaÃ±ol. ,
 Thanks
    "
$1,Heres Some Old Stuff for you, (east valley),/evl/cto/4629880619.html,"
        Have a few items on our storage lot that need to be gone have no titles so they are as is dont know if they run or not so please dont ask ,
1980 dodge utility van,
jack 
 ,

    "
$1,1997 Toyota Tercel, (Chandler),/evl/cto/4633170902.html,"
        Needs timing belt and maybe more. ,
Asking $600 obo,
Text or call Mary at 
 ,
if interested!,
Need gone ASAP!! ,
Thanks!
    "
$1,Challenger Rt 1970 Bucket List Movie Car, (T or C),/evl/cto/4633091450.html,"
        Wow 1970 Challenger RT built by the famous  Fast and Furious car builder Ted Moser for the Bucket List movie this was the exact car seen the the movie with Jack Nicholson also in the TV show NCIS with Mark Harmon! Has about 2000 miles on build new 5.7 Hemi and auto 727, has Magnum force front end and TTI headers and mufflers. Call for more  details  ,
Can do some trade ins ? No projects please! $57500. No disappointments here also will deliver when paid in full free.
    "
$1,1991 FORD F250  work truck sell or trade best price ,,/nph/cto/4632984635.html,"
         Runs Great good. COLD AC  460 new tires battery passed emissions. Hurry Must see todaY (602).... 367---- O417... no payments or paypal sorry cash only. Will trade for toys cash or other stuff..... 
    "
$1, Miata R model-- WANTED, (goodyear),/wvl/cto/4632273434.html,"
        Private part looking for clean 1994-1997 R model Miata, prefer non-racer.  Open to nego price.  Calls only please. Thanks,,
Scott
    "
$1,92 blazer fullsize , (south mountain),/cph/cto/4635537221.html,"
        I have a 92 blazer runs great Daily Driver also 4x4 works great dosenot grind to get it in 4hi or low only want to trade for something bigger preferably suburban 70's 80's or early 90's send pics to email not phone number call or text (602) two99-5949 Richard ,
goods :,
Newer rims good tires ,
just put new plugs/wires ,
pulls my boat to lake pleasant like nothing ,
I daily drive to Chandler for work ,
BADS :,
needs paint ,
driver fender dented ,
interior maybe 6of10
    "
$1,Ford expedition, (surprise),/wvl/cto/4637334791.html,"
        I have a Ford expedition for sale year 1997 v8 electric 4x4 the a/c works good good tires more information call text "
$1,2014 Nissan Altima 4door 6cyl. parts, (yuma),/cph/cto/4637239526.html,"
        I have the whole front end and interior to my Nissan. I was hit from behind and I had no insurance so this is my only way I can recover anything so its not a total loss. The engine and transmission only have 20,000 miles on them. Im only selling it as a complete thing no little pieces.
    "
$1,1963 Chevy panel truck , (Surprise ),/wvl/cto/4637890442.html,"
        This is a rare clean project body is nice and strait has transmission and exhaust but no motor this is a cool project I hate to sell but to many projects please call or txt
 ,
 $3500 Obo have some new parts and wiring for this also ,
Please No Flakes 
    "
$1,Volvo S40, (75 Ave Thomas),/wvl/cto/4637830917.html,"
        Volvo S40 runs very smooth but it has water in engine ,
This is a great opportunity for you with the right tools and experience ,
I'll have it for sale today and tomorrow ,
I'll take highest bidder ,
Txt me to come see it
    "
$1,1968 Buick Skylark,,/evl/cto/4637339036.html,"
        1968 Buick Skylark. Proper professional body work done, I do show winning cars, this car has a very good cutting and buffing. This only needs a few days of TLC to be a daily driver. It's not an over built muscle car. An average non enthusiast would easily be able to manage this and get decent mileage for what it is. It has a chevy engine swap. 350 4 bolt main block. a mild COMP CAM, approx 272 duration. Mildly Ported heads. Headers. engine combo matching proper Intake and proper carb (that isn't an over sized gas hog) to compliment the rpm range and power of the engine. The interior is close to restored to flawless. the front seats are brand new adjustable bucket padded race seats, but the back seats could use a re upholster if that matters to the buyer. I have pictures of the car with a set of new 20 inch TIS rims and BRAND new tires, 255/35/20 but I do have a set of older style Buick rally's 14 inch rims, with good tires and I'll negotiate the price down if I remove the 20's. AS IS.. I will NOT take a penny less than $6500. If you want to trade I need $5000 cash plus the trade. I DO NOT want to pay someone else to sell my car so don't solicit me. 
    "
$3000,2008 chevrolet cobalt, (320 w lone catus),/nph/cto/4664125899.html,"
        2008 chevrolet cobalt,
automatic ,
ac  ,
clean title,

    "
$9995,2005 Toyota Sienna LE** Amazing Miles, (Greenfield/Pecos),/evl/cto/4699081274.html,"
        Absolutely No low ballers and No car dealers.,
Amazing 2005 White Toyota Sienna LE,
Odometer: 79K,
VERY CLEAN!!! smoke-free,
BRAND NEW Goodyear TIRES this week.             **CLEAN Title! ,
Great Van!  Seats 7. ,
Asking $9,995 ***FIRM !!! ,
       Call Mike 4eight0-2four2-9nine09,
                         Absolutely No low ballers and No car dealers.,
van, honda, toyota, odyssey, sienna, caravan
    "
$1,1969 Chevy Suburban , (chandler az),/evl/cto/4637123391.html,"
        1969 suburban 2wheel drive lowered. Barn doors. Aftermarket seats. Tinted windows. Tilt column. Headers 4 barrel. aluminum intakes. 400sbc 700r4 runs and drives needs trani work 5000k,
 best offer or possible trade,
Call Mark 
 ,
,
DO NOT CONTACT ME WITH DEALER OFFERS OR SPAM,
 chevy ford dodge Plymouth rat rod muscle car truck •do NOT contact me with unsolicited services or offers"
$1,I want sprinter cargo van 2007 or newer, (Phx),/cph/cto/4637123033.html,"
        2007 or newer sprinter cargo van wanted I have cash now for the right cargo van no dealers please thx,
Don
 ,
,
Thx
    "
$1,Samurai Crawler Project, (Phoenix),/nph/cto/4636710282.html,"
        Been piecing together a crawler project for the past couple of months. Things have happened I need the cash monies. My loss is your gain, here is what I have thus far.,
87 Sammi frame and body, dash still intact, perches removed ready to be linked, no title at the moment (dont know what I did with it) - SOLD,
mid 70's wagy axles, Dana 44's extended width, front is passenger drop, BJ knuckles, 6 lug - 400,
Toyota 2RZ 2.4l long block w/ bellhousing, ECU, and engine stand - SOLD,
(2) Fox 2.0 16"" smooth body air shocks - SOLD,
(2) King 2.0 8"" smooth body air shocks - SOLD,
Prices are negotiable.  Call, text or email's will be answered in order received.,
Jeep, Wagoneer, Samurai, Crawler, ZUK, zuki, Toyota, 4cyl, engine, long block, Fox, Shock, Racing, Project
    "
$1,2000 svt lightning , (phx),/wvl/cto/4636634241.html,"
        I am selling my lightning ,
Clean tittle ,
2 15s kicker l7 blow trough,
Double din ,
4 6x9 speakers ,
Custom paint ,
Tires in the front bought a couple months ago ,
Has 116k miles ,
If you are really interested text me or call ,
Price is 12000,
,
I am the second owner 
    "
$1,looking for a good running car on payments, (phoenix),/evl/cto/4635849593.html,"
        looking for a good running car on payments, let me know what you have and how much you want , thx email or text"
$1,toyota engene doors third menber and more,,/cph/cto/4636540862.html,"
        22r toyota engine doors third menber windshield. And other pasrts call for prices ,
 Call.no text.i won't answer. Thanks
    "
$1,03 avalanche, (north phoenix),/nph/cto/4636473474.html,"
        Up for sale is my 03 chevy avalanche 8 cylinders 5.3 good running truck just got a main tune up done power doors and windows 4x4 clean in and out just don't need it anymore to many good things to list asking price is 8500.obo please call tito @213.454.86seven cero hurry it won't last...
    "
$1,Trade My tattoo work for Honda or Nissan , (West valley),/wvl/cto/4635755840.html,"
        Looking to tattoo or trade something for a Honda or Nissan hit me up at ,
!!! Even shells! Or non running! Also will do motorcycles running and non running
    "
$1,chevy van venture, (el mirage),/wvl/cto/4635670385.html,"
        Im selling my chevy venture LT 2001.cold ac,runs great,replace battery last year.emission pass for 2 years.if you are interested call or text at 
 ,
serious buyer only.thanks.,
Hablo espanol..
    "
$72000,2012 Ford F250 6.7 Diesel 4x4 custom 6 door , (san diego),/evl/cto/4651849907.html,"
        2012 Ford F-250 Super Duty that has been stretched to a 6 door that seats 8 people,
 comfortably. It is the Lariat model with all the options Bluetooth, Back up Camera, Heated and Cooled ,
 Seats, Sunroof, Leather, remote start, back up camera, and so much more. It has the 6.7L Turbo Diesel with the 6-speed automatic trans, 4x4 and only 17,000 miles. ,
 It has a Ready Lift Leveling kit with 17"" Method Wheels and Brand New Tires. ,
 THIS TRUCK HAS IT ALL!!! It fits in 90% of all Drive thru restaurants even Starbucks so your wife can drive it!!!,
 Total length bumper to bumper is roughly 22 1/2 feet, only 18 inches longer than a 4 door long bed Superduty. Looks and drives beautifully. You won't believe what an eye catcher this truck is. Very unique and hard to come by. Excellent quality on fabrication and custom body work. Open for trade offers or partial trade offers. This Truck stock blue books for over $55,000. Over $40,000 of money invested in just custom work not to mention the time it takes to build one of these trucks right. Non smoker. Well maintained. Never abused or used for extensive heavy load towing. Title in hand. Currently registered till 2015. ,

    "
$72500,2012 Porsche Panamera S LOW MILES, (96th St. & Cactus),/nph/cto/4663724651.html,"
        2012 Porsche Panamera S, One Owner, clean carfax,
New MSRP was $112,815  (See Pic for options and original Window Sticker),
Jan 2014 New tires ,
Current mileage: less than 27,000,
Premium package Plus (Heated seats and steering wheel, park assist, and electro roll-up sun blinds),
Yachting Mahogany Interior Package (see pix),
Two-Tone leather package,
Text me at 
 ,
for additional info...
    "
$73000,2014 BMW X5 xDrive50i White with Mpack Exec pack & More Private sale, (Queen Creek),/evl/cto/4699527045.html,"
        I am selling this LIKE NEW and FLAWLESS 2014 BMW X5. The vehicle looks, and drives, like it just came off the showroom floor. It only has 15,350 miles. It has been babied and dealer maintained. I HAVE THE STICKER, I PAID $84,125 selling at a large discount,
This X5 is the X Drive 50i Twin Turbo V8. With the following added packages:,
*M Sport Package ($3600),
*Cold Weather Package ($550),
*Driver Assistance Plus Package ($1900),
*Executive Package ($4100),
Other EXTRAS:,
	Front ventilated seats $500,
	4- Zone climate control $500,
	3rd row seat + rear axle suspension $1700,
	ACC Stop&Go + Active drive ast  $1200,
The 2014 X5 has been revamped from the prior year with a new V8 4.4 Liter direct inject twin turbo charged engine that puts out 450 HP and 479 Pound-feet of torque @2000 RPM. The transmission is an 8 speed shiftable automatic with adaptive transmission control ATC.,
The vehicle specs include: Mineral White Metallic paint, Black Dakota leather, push button start, smart key, 20 way front seats with memory, bixenon headlights with LED fog,  leather wrapped heated steering wheel with telescope, Harman / Kardon sound system, rear camera, power tailgate, auto dim mirrors, panoramic roof, front ventilated seats, fine oak trim, ambiance lighting, Navi with touchscreen large display, B/T enhanced system,  side markers and much more ,
Call or text Joel *** 
 ,
***,
This is a MUST SEE VEHICLE,
Clean/CLEAR Private Party / NO TAX!! ,
VIN: 5UXKR6C54E0C02180"
$75000,2014 Corvette Singray, (Scottsdale),/evl/cto/4699730775.html,"
        2014 Stingray 3LT Only 300 Miles!  Crystal Red Metallic with Kalahari Leather,
 1.  Stingray Coupe 3-LT  (UPGRADE ALL OPTIONS)  MSRP.  $75,950.00,
	2.  Z-51 7 SPEED MANUEL,
	3.  MAGNETIC RIDE OPTION,
	4  CARBON DUAL ROOF PACKAGE,
	5.  EXHAUST MULTI-MODE,
	6.  CARBON INTERIOR,
	7   FULL INTERION TRIM PACKAGE,
	8.  CARBON FLASH HOOD,
	9.  RED PAINTED CALIPERS,
	10. BATTERY PROTECTION PACKAGE,
	11. CRYSTAL RED METALLIC TINTCOAT,
	12. KALAHARI TAN FULL LEATHER,
THIS CORVETTE HAS ALL FACTORY COVERS (SEATS & CAR COVER) MUSEUM DELIVERY, AND COVERED SHIPPING... IT'S ABSOLUTELY 'PRISTINE'... HAS NEVER SEEN RAIN...  ONLY POLISH"
$75000,1927 ford hot rod, (mesa),/evl/cto/4697524841.html,"
        1927 ford hot rod,
350 modified motor RV cam headers and morejagwire independent rear suspension 4 wheel disc brakesVintage Air AC700r4 transmission be announced stall converter and shift kit for more info please call Mike at 
 ,

    "
$74900,"2012 Lexus 600 HL- 1 owner, clean carfax- almost half off MSRP ",,/wvl/cto/4677979305.html,"
        Almost half off MSRP!,
2012 2012 Lexus LS 600 HL odometer: 12000 VIN: Jjhdu1ef4c5015034 paint color : black size : full-size drive : 4wd fuel : gas transmission : automatic title status : clean cylinders : 8 cylinders,
Ultimate luxury and elegance ,
2012 Lexus LS 600 HL ,
Original Msrp 135,000$,
Miles 12,000,
Listed at 74900.00$,
Pictures speak to the beauty and luxury of this car.,
Engine,
5l 389 hp v-8,
Clean Carfax -One owner, maintained.,
Highlights-,
Performance,
Brake-pedal feel,
Massive backseat,
Hybrid drivetrain should make interior even quieter,
Safety equipment galore,
Variable transmission with selectable modes,
8 speed variable overide transmission 19/23 hwy,
What respected car publications had to say,
Edmunds-,
Exquisite craftsmanship inside and out; supremely quiet and comfortable cabin; super ultralow-emissions vehicle (SULEV) rating.,
MSN.com,
Autos.msn.com expert rated 9.0/10,
Serious bidders only and buyers will be screened"
$1500,2005 cadillac escalade esv take over my car payment,,/nph/cto/4678178415.html,"
        2005 cadillac escalade esv take over my car payment,
1500 down ,
495 month ,
clean title   cold ac,
runs great  ,
dvd   nav   203000 miles,

    "
$800,2010 ford focus  take over my car payment,,/evl/cto/4699221155.html,"
        2010 ford focus  take over my car payment,
runs great   cold ac  138000 miles  ,
5 speed      ,
800 down    400 month ,
,

    "
$2000,2003 chevy malibu chevrolet malibu ,,/nph/cto/4678162022.html,"
        2003 chevy Malibu,
automatic,
clean title   ,
140000 miles,

    "
$5000,mustang coupe 2004, (71 thomas),/wvl/cto/4704547349.html,"
        si lo quiere calar puede mirarlo le funciona todo bien $5000 o.b.o
    "
$3000,2006 PONTIAC GRAND PRIX,,/nph/cto/4685657493.html,"
        2006 PONTIAC GRAND PRIX ,
RUNS GREAT ,
COLD AC ,

    "
$16750,2007 Toyota 4-Runner, (N Scottsdale),/nph/cto/4699847250.html,"
        2007 Toyota 4-Runner SR5, V6 automatic with many options. Original owner, 88,000 miles, great condition.  Charcoal Grey, moonroof, premium sound and wheels, tow package, front and side airbags, great gas mileage (22 MPG), always garaged and I have all the service records.  Recent 75K service included replacement of all belts, brakes, filters and fluids.  Tires are Michelin 60k with less than 30k miles on them. Great for on road and off, a very dependable vehicle. Have clean title.  Email Craig.  North Scottsdale.  
    "
$6900,2008 TOYOTA PRIUS,,/nph/cto/4685153883.html,"
        2008  TOYOTA  PRIUS  ,
 VIN  JTDKB20U183358980   Body Style  5DHB Odometer  176,484  ,
Ext Color  BLACK Int Color  GRY Top Type  Hard Top ,
RUNS GREAT CLEAN TITLE  ,
 OR   
 ,
"
$2000,chevrolet malibu,,/nph/cto/4678734390.html,"
        chevrolet malibu,
automatic  ,
cold ac ,
clean title ,
runs great  ,
144000 miles ,

    "
$3000,2006 KIA OPTIMA ,,/nph/cto/4678712908.html,"
        2006 KIA OPTIMA FULLY LOADED,
LEATHER  COLD AC,
104000 MILES,
,

    "
$1400,Flat bed tow trailer,,/cph/cto/4704547762.html,"
        Selling my 20 foot flat bed tow trailer has brand new tires all 4 ., comes with 3500 lbs winch and aluminum 4000lbs pound capacity Ramps. I used the trailer to tow my race car to the track and back everything works on it the wood is weathered but other wise In great shape asking 1400.00 or best offer if interest text me at ,
thank you
    "
$4500,2013  nissan pathfinder leather fully loaded take over my car payment,,/nph/cto/4682334608.html,"
        2013  nissan pathfinder leather fully loaded take over my car payment,
fully loaded     leather navigation  only 23000 miles,
still under factory warranty ,
bad credit okay ,
4500 down   595 month ,

    "
$6900,2008 toyota prius,,/evl/cto/4698479478.html,"
        2008 TOYOTA PRIUS ,
VIN JTDKB20U183358980 Body Style 5DHB Odometer 176,484 ,
Ext Color BLACK Int Color GRY Top Type Hard Top ,
RUNS GREAT CLEAN TITLE ,
OR 
 ,

    "
$1,WANTED 1992-1996 Buick Roadmaster Estate WAGON, (PHOENIX),/nph/cto/4635493268.html,"
        WANTED 1992-1996 Buick Roadmaster Estate Wagon, Low miles and clean, send detail, 
    "
$1,Toyota project 4runner, (peoria),/wvl/cto/4635392949.html,"
        I started this project and I am not even sure I want to sell it yet, but I'm  testing the waters,
Its a 1990 4runner that I pulled the 3.0 to swap a 3.4 v6 in it. ,
The engine is a 2000 Tacoma prerunner with 120,000 miles on it,  running when pulled and with the engine I have the harness as well. ,
Also I have the stock v6 r151f transmission to go with it.,
Have a complete gear driven transfer case with extra half case and parts to build a crawl box.,
Also a 85 solid axle housing to do an SAS as well.,
I started building a set of half doors and since I am still not sure if I am going to part yet I am still working on them. Also with a set of stock doors not cut up.,
I pulled the rear carpet I was going to put a built in drawer system in. ,
I am interested if the project well sell for a decent price text me if interested and I will also send photos to serious people. ,
Thank you ,
,
Tags,
Toyota crawler marlin crawler solid axle 4x4 project 4link straight axle buggie truggie 
    "
$1,2004 toyota v6 convertible, (east mesa),/evl/cto/4635131471.html,"
        2004 Sellaro Convertible - $4,800 (approx $2,200 under KBB lowest value)"
$1,1984 Pontiac Fiero Sport all original with low miles, (queen creek),/evl/cto/4635374403.html,"
        This is a good running vehicle asking $500 or willing to trade for? Let me know what ya got. The worse can happen is I say no. Has been well-maintained and always serviced on time. Been sitting for a year used to be my sons car but he has since moved out and buy himself a Mustang. So what has been sitting for the last year and the only problem I see is the clutch is soft the paddle seems like there is little to no pressure. However it was working when it was parked and about six months ago I bled it and seem like it drove just fine. Then it again went to little to no pressure. Car does have a $200 title loan on it. This is why I had it listed so cheap. Car has no dents and all glass on the car is in good condition also has a moonroof has warranty on new tires and new feel pump warranty. You can text email or call with any questions "
$1,1973 impala on 30s,,/wvl/cto/4634842186.html,"
        Way to much to list but invested over 25k check out youtube for videos havikgilm2121"
$1,trade for truck/suv, (Gila Bend),/wvl/cto/4635109765.html,"
        Looking to trade my 2010 Kia Forte 4dr for a truck or SUV. Car is in great shape nothing wrong. It is a 4 cylinder, everything works great. Looking for something equal in value and also equal in condition.
    "
$1,--------Chevy S10-----------,,/wvl/cto/4634966088.html,"
        I'm selling my  2003 s10 """"4 cylinder"""" gas SAVER 150k no problems asking 3500 need to sell contact me at"
$1,1996 ford mustang gt, (Stv),/evl/cto/4634825539.html,"
        96 mustang gt for sale. Runs great. Was going to put a 5.4 motor in it but don't have time or enough $ It does come with the expedition with the 5.4 in it. I don't even have the space to keep it. The price is $2500 or  I will trade for yamaha raptor 660
    "
$1,2007 Chevy Silverado Classic  Crew Cab 72k Miles, (surprise),/wvl/cto/4634824466.html,"
        - Pioneer touch screen deck DVD/Navi set up with aux jacks and iPhone (you can stream Netflix and watch),
- 2 10"" subs ,
- upgraded speakers all around ,
- 22"" Rims,
- Clifford 2 way alarm with auto start,
- a/c,
- 4.8L V8 2WD ,
- black exterior,
- black cloth interior,
- mechanic owned since 2009,
- 5% tint in rear 35% in front,
- sprayed in Bed liner,
- 72k miles (babied),
- I have all paperwork,
- passenger front door was replaced and painted (questions txt or call),
- will upload pics soon and I can send from my phone,
- asking 14,500 ,
- please only contact if your serious 602885 six 77 six
    "
$75000,"2015 Dodge Challenger SRT Hellcat, NEW 6 speed "," (Cactus & 101, Scottsdale)",/nph/cto/4671657654.html,"
        2015 Dodge Challenger SRT Hellcat, NEW 6 speed - $75000 (Scottsdale),
My neighbor just ordered this car last Tuesday and it will be among the 1st delivered. 6 speed, satellite radio, nav, summer tire option, very rare RED LINE RUBY RED paint.,
MSRP is $64,4xx,
this is a private party sale so there will be no sales tax"
$75000,1966 Corvette Stingray,,/wvl/cto/4689550446.html,"
        1966 Corvette Stingray, Original 427 Car, New 496 C.I. Motor, New Suspension, New Tires and Wheels, Original Tires and Wheels with Hubcaps available, New Leather Interior, Complete New Factory Exhaust System, Lots of Chrome under the Hood, Big Block Aluminum Radiator, New Power Disc Brakes, Original AM/FM Radio.
    "
$75000,2002 acura rsx type s, (tempe az),/cph/cto/4649421199.html,"
        i want to sell my 2002 acura rsx type s,manual, clean title, clean carfax, car is about 141000miles rightnow, it runs great without any problems, its super clean, 9.5/10 interior, perfect aggressive sound, aftermarket intake and exhaust. the reason why that I am selling my babe is I need a bigger car. I am asking 7500,  If interested in or have any other questions please contact me "
$75000,1967 corvette coupe, (morrisville),/cph/cto/4661163862.html,"
        Beautiful 1967 corvette coupe 327-350 hp,4 speed,numbers matching.red with black interior.low miles28,646 pampered,factory side exhaust,rally wheels. $750000.00 bo
    "
